timestamp,gas_fee,trading_volume
2024-12-04 14:02:19.792322,23.461708459,
2024-12-04 13:02:20.698075,23.461708459,
2024-12-04 12:02:21.545832,23.461708459,
2024-12-04 11:02:22.439087,23.461708459,
2024-12-04 10:02:23.303400,23.461708459,
2024-12-04 09:02:24.192471,23.461708459,
2024-12-04 08:02:25.046123,24.140533363,
2024-12-04 07:02:48.648547,24.140533363,
2024-12-04 06:02:49.496626,24.140533363,
2024-12-04 05:02:50.341326,24.140533363,
2024-12-04 04:02:51.191965,24.140533363,
2024-12-04 03:02:52.045176,24.140533363,
2024-12-04 02:02:52.870617,24.140533363,
2024-12-04 01:02:53.710413,24.140533363,
2024-12-04 00:02:54.555149,24.140533363,
2024-12-03 23:02:55.403583,24.207775736,
2024-12-03 22:02:56.258334,24.207775736,
2024-12-03 21:02:57.096592,24.207775736,
2024-12-03 20:02:57.981207,24.207775736,
2024-12-03 19:02:58.869661,24.207775736,
2024-12-03 18:02:59.710602,24.207775736,
2024-12-03 17:03:00.567728,24.207775736,
2024-12-03 16:03:01.398811,24.207775736,
2024-12-03 15:03:02.238349,24.207775736,
2024-12-04 14:03:03.095672,24.207775736,
2024-12-04 13:03:03.918818,24.207775736,
2024-12-04 12:03:04.757091,24.207775736,
2024-12-04 11:03:05.602755,23.451277752,
2024-12-04 10:03:06.466496,23.451277752,
2024-12-04 09:03:07.320038,23.451277752,
2024-12-04 08:03:08.150284,23.451277752,
2024-12-04 07:03:09.034994,23.451277752,
2024-12-04 06:03:09.877474,23.451277752,
2024-12-04 05:03:10.721072,23.451277752,
2024-12-04 04:03:11.585754,23.451277752,
2024-12-04 03:03:12.468851,23.451277752,
2024-12-04 02:03:13.337313,23.451277752,
2024-12-04 01:03:14.216101,23.451277752,
2024-12-04 00:03:15.035070,23.92228898,
2024-12-03 23:03:18.980953,23.92228898,
2024-12-03 22:03:22.965783,23.92228898,
2024-12-03 21:03:23.835122,23.92228898,
2024-12-03 20:03:24.680739,23.92228898,
2024-12-03 19:03:25.551280,24.262698372,
2024-12-03 18:03:26.438010,24.262698372,
2024-12-03 17:03:27.283212,24.262698372,
2024-12-03 16:03:29.155519,24.262698372,
2024-12-03 15:03:30.011933,24.262698372,
2024-12-04 14:03:30.868621,24.262698372,
2024-12-04 13:03:31.709239,24.262698372,
2024-12-04 12:03:32.590903,24.262698372,
2024-12-04 11:03:33.433478,24.262698372,
2024-12-04 10:03:34.294395,24.262698372,
2024-12-04 09:03:35.139508,24.262698372,
2024-12-04 08:03:37.013330,24.262698372,
2024-12-04 07:03:37.868479,24.262698372,
2024-12-04 06:03:38.695190,24.262698372,
2024-12-04 05:03:39.534961,24.262698372,
2024-12-04 04:03:40.394214,24.262698372,
2024-12-04 03:03:42.252611,24.262698372,
2024-12-04 02:03:43.139102,23.725351034,
2024-12-04 01:03:55.209602,23.725351034,
2024-12-04 00:03:56.049949,23.950419301,
2024-12-03 23:03:56.935891,23.950419301,
2024-12-03 22:03:57.798630,23.950419301,
2024-12-03 21:03:58.686927,23.950419301,
2024-12-03 20:03:59.525312,23.950419301,
2024-12-03 19:04:00.372191,23.950419301,
2024-12-03 18:04:01.229791,23.950419301,
2024-12-03 17:04:02.132330,23.950419301,
2024-12-03 16:04:03.012694,23.950419301,
2024-12-03 15:04:03.848666,23.950419301,
2024-12-04 14:04:04.702362,23.950419301,
2024-12-04 13:04:05.549330,23.950419301,
2024-12-04 12:04:06.378741,23.539263457,
2024-12-04 11:04:07.236235,23.539263457,
2024-12-04 10:04:08.129012,23.539263457,
2024-12-04 09:04:08.972152,23.539263457,
2024-12-04 08:04:09.842611,23.539263457,
2024-12-04 07:04:10.727171,23.539263457,
2024-12-04 06:04:11.564716,23.539263457,
2024-12-04 05:04:12.410788,23.539263457,
2024-12-04 04:04:13.239186,23.539263457,
2024-12-04 03:04:14.052318,23.539263457,
2024-12-04 02:04:14.929306,23.539263457,
2024-12-04 01:04:15.796086,23.539263457,
2024-12-04 00:04:16.646516,24.496828815,
2024-12-03 23:04:17.488559,24.496828815,
2024-12-03 22:04:18.332952,24.496828815,
2024-12-03 21:04:19.176395,24.496828815,
2024-12-03 20:04:20.051017,24.496828815,
2024-12-03 19:04:20.896635,24.496828815,
2024-12-03 18:04:21.729804,24.496828815,
2024-12-03 17:04:22.561803,24.496828815,
2024-12-03 16:04:23.409061,24.496828815,
2024-12-03 15:04:24.248526,24.496828815,
2024-12-04 14:04:25.084489,24.496828815,
2024-12-04 13:04:25.977604,24.496828815,
2024-12-04 12:04:26.814292,24.711688156,
2024-12-04 11:04:27.660250,24.711688156,
2024-12-04 10:04:28.515935,24.711688156,
2024-12-04 09:04:29.361654,24.711688156,
2024-12-04 08:04:30.202347,24.711688156,
2024-12-04 07:04:31.049283,24.711688156,
2024-12-04 06:04:31.869668,24.711688156,
2024-12-04 05:04:35.816964,24.711688156,
2024-12-04 04:04:36.686291,24.711688156,
2024-12-04 03:04:37.531758,24.711688156,
2024-12-04 02:04:38.369973,24.711688156,
